model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMIGWO,1,1,111886,0.9156421,0.05952176,0.04050398,0.359127604406113,108758,0,97.0853375
ELMIGWO,1,2,80302,0.8759315,0.06345648,0.04299986,0.277713086539815,78149,0,98.2287028
ELMIGWO,1,3,108938,0.9905048,0.01744893,0.009307995,0.997126806073179,108938,0,99.6986043
ELMIGWO,1,4,107335,0.9677345,0.02472815,0.01603144,0.996897563702427,107335,0,99.2549255
ELMIGWO,1,5,108573,0.9959955,0.01232369,0.006235209,0.997761874499185,108573,0,97.3052939
ELMIGWO,1,6,99685,0.9081655,0.05940092,0.04111616,0.357594676743613,97384,0,106.6479488
ELMIGWO,1,7,99685,0.9084581,0.05930623,0.04116397,0.367247186396123,97384,0,107.0206678
ELMIGWO,2,1,110740,0.8808506,0.07126729,0.04989635,0.265662593539831,105570,0,98.8037041
ELMIGWO,2,2,93548,0.9155697,0.05657884,0.04001015,0.319765662571591,91492,0,97.7304509
ELMIGWO,2,3,107783,0.9932699,0.01548087,0.009893508,0.997188796006791,107783,0,99.0606796
ELMIGWO,2,4,107916,0.9849482,0.01750559,0.01189685,0.997182994180659,107916,0,98.6484956
ELMIGWO,2,5,106418,0.9980657,0.009451114,0.006368387,0.9738672029168,106418,0,96.9402034
ELMIGWO,2,6,103081,0.9198225,0.06228444,0.04368058,0.397813998853707,99451,0,98.2539585
ELMIGWO,2,7,86716,0.9179969,0.05032287,0.03525876,0.355846283523085,84233,0,97.3253848
ELMIGWO,3,1,91897,0.8538503,0.05971675,0.03926102,0.340263188271961,86630,0,97.4778461
ELMIGWO,3,2,88065,0.9007003,0.05581543,0.03861629,0.298888681359731,85664,0,97.8989139
ELMIGWO,3,3,106010,0.9502161,0.03177469,0.02344724,0.982529950004717,106010,0,100.8015036
ELMIGWO,3,4,106265,0.9744205,0.02617788,0.01912352,0.996762809956241,106265,0,98.3318011
ELMIGWO,3,5,134049,0.9840857,0.03331897,0.02152194,0.75871541304565,40044,0,98.9828588
ELMIGWO,3,6,87914,0.8726325,0.06165495,0.03643074,0.383505427588033,83094,0,100.7058341
ELMIGWO,3,7,93443,0.7367573,0.06506129,0.04186184,0.132976913196693,91091,0,98.6828698
ELMIGWO,4,1,111234,0.8489028,0.08434834,0.06005028,0.226173791170287,108452,0,98.7214545
ELMIGWO,4,2,87389,0.9083854,0.05721345,0.03930055,0.316460042864078,84453,0,98.9445487
ELMIGWO,4,3,107580,0.9837908,0.02023817,0.01105338,0.997090537274586,107580,0,99.5238147
ELMIGWO,4,4,107501,0.9647023,0.02345493,0.01115675,0.996455846922354,107501,0,98.8763324
ELMIGWO,4,5,107657,0.9956606,0.01261394,0.0053226,0.996767511634172,107657,0,97.0067833
ELMIGWO,4,6,112066,0.8865312,0.03524179,0.02171234,0.345878510184639,110215,0,98.0491974
ELMIGWO,4,7,85362,0.8996226,0.05733031,0.03941968,0.323007275270216,81509,0,97.5660079
ELMIGWO,5,1,110916,0.880747,0.06774235,0.04253979,0.329130172153428,105952,0,97.4794045
ELMIGWO,5,2,103798,0.863071,0.05999625,0.04333336,0.284957227636306,100766,0,97.0773761
ELMIGWO,5,3,108198,0.9907857,0.01703564,0.01215504,0.99782805597146,108198,0,97.7495602
ELMIGWO,5,4,108525,0.9138823,0.03571666,0.02660128,0.996516931582585,108525,0,97.7139301
ELMIGWO,5,5,108324,0.9985858,0.008366838,0.004604197,0.997018204645323,108324,0,94.3506961
ELMIGWO,5,6,110524,0.8931559,0.0504492,0.03395341,0.3495598813878,106903,0,96.6211658
ELMIGWO,5,7,88564,0.8161991,0.07969014,0.0546031,0.231072926978739,84852,0,96.7886626
ELMIGWO,6,1,98276,0.844977,0.06938898,0.04497362,0.30531513775226,93356,0,95.9999318
ELMIGWO,6,2,96724,0.9368709,0.05570387,0.04065758,0.390880071982519,93356,0,96.2060183
ELMIGWO,6,3,104586,0.9612,0.03756109,0.03007627,0.955854512076186,104586,0,96.7369092
ELMIGWO,6,4,107077,0.8913717,0.03802916,0.02847228,0.993042390055754,107077,0,96.4142716
ELMIGWO,6,5,134110,0.9908851,0.02436245,0.01647888,0.707336906301977,54110,0,96.9117744
ELMIGWO,6,6,106651,0.9095911,0.04436668,0.02949826,0.390137389597645,101900,0,96.6905289
ELMIGWO,6,7,103279,0.8634487,0.05337135,0.03733919,0.287814913151868,98678,0,96.2861751
ELMIGWO,7,1,111842,0.9039496,0.06446354,0.04486734,0.284323441428545,108978,0,96.8601246
ELMIGWO,7,2,92431,0.8694308,0.04489988,0.02952243,0.263879066478076,90496,0,97.2789766
ELMIGWO,7,3,108486,0.9744768,0.02236426,0.01550381,0.996921261729624,108486,0,96.1736666
ELMIGWO,7,4,108434,0.9168754,0.03274614,0.01823519,0.996034454138001,108434,0,96.6752227
ELMIGWO,7,5,25045,-0.09204888,0.221454,0.1588665,0.408824116590138,25045,0,97.0814291
ELMIGWO,7,6,110318,0.9131449,0.04629423,0.03157273,0.360971254475668,108643,0,97.3007764
ELMIGWO,7,7,69053,0.8603704,0.05065561,0.03257181,0.295430566906902,67295,0,96.6755742
ELMIGWO,8,1,110981,0.8783097,0.07229941,0.05018934,0.272498890284559,105883,0,96.968251
ELMIGWO,8,2,73108,0.9239355,0.05320003,0.03705549,0.344575794810954,70803,0,96.9946406
ELMIGWO,8,3,107495,0.9885699,0.01864003,0.01341729,0.99794409042281,107495,0,97.0228037
ELMIGWO,8,4,107264,0.9308634,0.02861106,0.01732338,0.996159009546539,107264,0,101.5257185
ELMIGWO,8,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002223
ELMIGWO,8,6,108433,0.9085209,0.04174389,0.02799231,0.371129425376744,105443,0,100.4383926
ELMIGWO,8,7,99976,0.9052649,0.05336268,0.03575381,0.351474341235433,97569,0,99.2336816
ELMIGWO,9,1,90800,0.8691111,0.07172287,0.04767302,0.292895372022248,85761,0,98.9632856
ELMIGWO,9,2,84195,0.9057571,0.06176729,0.04304871,0.357088938113329,80809,0,99.6093513
ELMIGWO,9,3,105309,0.5848606,0.09182748,0.06581474,0.888784434378828,105309,0,99.3338501
ELMIGWO,9,4,105853,0.8225096,0.04941834,0.03460969,0.997241457492938,105853,0,101.8452782
ELMIGWO,9,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002217
ELMIGWO,9,6,103215,0.8931146,0.05035515,0.03339982,0.33274497808711,99713,0,100.1618572
ELMIGWO,9,7,96649,0.8298891,0.06255694,0.04305397,0.276548719583466,94110,0,98.5038292
ELMIGWO,10,1,87016,0.8719617,0.07096,0.04861318,0.250744982587154,83559,0,97.8841208
ELMIGWO,10,2,79143,0.8770221,0.06908807,0.0492118,0.256444531813118,76305,0,99.055866
ELMIGWO,10,3,41022,0.7312846,0.1147288,0.08865777,0.383696553069085,41022,0,99.4027234
