model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMABC,1,1,111886,0.9057921,0.06290088,0.04497865,0.297513746115228,108758,0,74.7913857
ELMABC,1,2,80302,0.8225318,0.07589366,0.05189461,0.237239120142292,78149,0,74.7481559
ELMABC,1,3,108938,0.9707618,0.03061905,0.02276641,0.996998292606804,108938,0,75.8293852
ELMABC,1,4,107335,0.9524038,0.03003366,0.02199201,0.996925513578982,107335,0,75.0399694
ELMABC,1,5,108573,0.9792437,0.02805685,0.0211929,0.997126357381669,108573,0,74.8360839
ELMABC,1,6,99685,0.8817273,0.0674113,0.0469888,0.326716914482872,97384,0,77.1386625
ELMABC,1,7,99685,0.8727595,0.06992026,0.0492061,0.295633779676333,97384,0,84.7552744
ELMABC,2,1,110740,0.8799573,0.07153392,0.05006353,0.261996779388084,105570,0,83.4922061
ELMABC,2,2,93548,0.861452,0.0724778,0.05249504,0.24499409784462,91492,0,76.8724868
ELMABC,2,3,107783,0.9790615,0.02730591,0.01983015,0.99559299704035,107783,0,77.4760964
ELMABC,2,4,107916,0.9428353,0.03411505,0.02568114,0.985720375106564,107916,0,76.9625283
ELMABC,2,5,106418,0.9868277,0.02466299,0.01973493,0.886917626717285,106418,0,77.4102403
ELMABC,2,6,103081,0.8967502,0.07068024,0.05064646,0.353038179606037,99451,0,76.6348258
ELMABC,2,7,86716,0.8515114,0.06771687,0.04696069,0.271532534754787,84233,0,76.8662558
ELMABC,3,1,91897,0.7912569,0.07136795,0.0453681,0.268163453768902,86630,0,77.1889022
ELMABC,3,2,88065,0.8545747,0.0675461,0.04689712,0.240684534927157,85664,0,77.1418622
ELMABC,3,3,106010,0.8734365,0.05066301,0.03838042,0.931232902556363,106010,0,76.7395407
ELMABC,3,4,106265,0.9192153,0.04652141,0.03595113,0.917526937373547,106265,0,76.7733267
ELMABC,3,5,134049,0.9119133,0.07838859,0.0530518,0.480321646189192,40044,0,76.4681147
ELMABC,3,6,87914,0.8324773,0.07070912,0.04617856,0.283835174621513,83094,0,79.4569956
ELMABC,3,7,93443,0.6301273,0.07712063,0.04702664,0.130803262671395,91091,0,75.4650458
ELMABC,4,1,111234,0.843008,0.08597793,0.06328323,0.195911555342456,108452,0,74.8762296
ELMABC,4,2,87389,0.8465142,0.07405424,0.05014214,0.246989449753117,84453,0,75.6305983
ELMABC,4,3,107580,0.9527642,0.03454824,0.02393126,0.996839561256739,107580,0,79.5014676
ELMABC,4,4,107501,0.9440261,0.02953615,0.01838971,0.996269802141375,107501,0,75.9315962
ELMABC,4,5,107657,0.9791719,0.02763509,0.02148348,0.997445591090222,107657,0,75.2245725
ELMABC,4,6,112066,0.8693959,0.03780926,0.02542961,0.284861407249467,110215,0,74.5551853
ELMABC,4,7,85362,0.8936,0.05902515,0.04167581,0.307671545473506,81509,0,74.9643472
ELMABC,5,1,110916,0.8677017,0.07135142,0.05050574,0.245148746602235,105952,0,74.397509
ELMABC,5,2,103798,0.8407643,0.06469885,0.04566573,0.286634380644265,100766,0,74.8485965
ELMABC,5,3,108198,0.9799652,0.02512001,0.01882236,0.997652451986173,108198,0,75.1539522
ELMABC,5,4,108525,0.8707284,0.04375989,0.03189904,0.996498502649159,108525,0,74.9108682
ELMABC,5,5,108324,0.984778,0.02744983,0.02037847,0.923322624718437,108324,0,76.8805249
ELMABC,5,6,110524,0.8662406,0.05644702,0.03952828,0.286455946044545,106903,0,74.8018486
ELMABC,5,7,88564,0.6779019,0.1054933,0.07025025,0.208999198604629,84852,0,74.8135229
ELMABC,6,1,98276,0.8193868,0.07489748,0.0484997,0.277850379193624,93356,0,74.9464486
ELMABC,6,2,96724,0.9118016,0.06584166,0.04814595,0.351011182998415,93356,0,74.9748073
ELMABC,6,3,104586,0.9213462,0.05347884,0.04277597,0.831392346968045,104586,0,75.9903055
ELMABC,6,4,107077,0.7788137,0.05426558,0.04146606,0.981770128038701,107077,0,74.7854352
ELMABC,6,5,134110,0.9514369,0.05623387,0.03902213,0.462576233598226,54110,0,74.7815482
ELMABC,6,6,106651,0.8831881,0.05043069,0.03510494,0.319607458292444,101900,0,74.6820803
ELMABC,6,7,103279,0.8159645,0.06195995,0.04233408,0.253217535823588,98678,0,74.9479001
ELMABC,7,1,111842,0.8844453,0.07070632,0.05152651,0.244370423388207,108978,0,74.8913345
ELMABC,7,2,92431,0.8100137,0.05416091,0.03722848,0.209666725601132,90496,0,74.4850485
ELMABC,7,3,108486,0.9240466,0.03857986,0.02982451,0.99662629279354,108486,0,74.7623088
ELMABC,7,4,108434,0.9147063,0.03317063,0.01944717,0.996172787133187,108434,0,74.9598124
ELMABC,7,5,25045,0.1484562,0.1955537,0.1527006,0.376322619285286,25045,0,75.0230543
ELMABC,7,6,110318,0.8674408,0.05719183,0.04081228,0.276722844545898,108643,0,74.8894062
ELMABC,7,7,69053,0.8582729,0.05103466,0.0345336,0.239676053198603,67295,0,74.7612003
ELMABC,8,1,110981,0.8784475,0.07225847,0.05236438,0.25725565010436,105883,0,74.8162063
ELMABC,8,2,73108,0.8581372,0.07265324,0.04991021,0.265059390138836,70803,0,74.8500029
ELMABC,8,3,107495,0.9619219,0.03402184,0.02652955,0.995460253965301,107495,0,75.2499071
ELMABC,8,4,107264,0.8922985,0.0357101,0.02386488,0.996392079355609,107264,0,75.2398938
ELMABC,8,5,180000,NaN,NaN,NaN,NaN,0,1,0.0001902
ELMABC,8,6,108433,0.8475382,0.05389056,0.03676347,0.269557960224956,105443,0,74.5830584
ELMABC,8,7,99976,0.8357651,0.07026108,0.04949706,0.243940185919708,97569,0,74.5561846
ELMABC,9,1,90800,0.839987,0.07930197,0.05385407,0.256830027634939,85761,0,74.6543539
ELMABC,9,2,84195,0.8549393,0.07663182,0.05326607,0.301958940217055,80809,0,74.7115658
ELMABC,9,3,105309,0.6628587,0.0827526,0.06302465,0.9202347377717,105309,0,74.9948526
ELMABC,9,4,105853,0.7991419,0.05257091,0.03749764,0.996891916147865,105853,0,74.8685144
ELMABC,9,5,180000,NaN,NaN,NaN,NaN,0,1,0.000191
ELMABC,9,6,103215,0.8658226,0.0564189,0.03847634,0.295889202009768,99713,0,74.6844711
ELMABC,9,7,96649,0.7598675,0.074325,0.051645,0.242577834449049,94110,0,74.7591009
ELMABC,10,1,87016,0.8468657,0.07760327,0.05301228,0.245778432006127,83559,0,74.8920457
ELMABC,10,2,79143,0.8350624,0.08001097,0.05563027,0.236550684751982,76305,0,74.6588663
ELMABC,10,3,41022,0.6882064,0.1235833,0.1020617,0.292477207352152,41022,0,74.7895956
ELMABC,10,4,93441,0.4005905,0.112189,0.08659086,0.84655558052675,93441,0,74.6565992
ELMABC,10,5,180000,NaN,NaN,NaN,NaN,0,1,0.0001933
ELMABC,10,6,55850,0.6221675,0.06936884,0.03795759,0.12090593663019,52454,0,74.6616845
ELMABC,10,7,59752,0.6037512,0.07781561,0.04145375,0.182982100343885,56705,0,74.8105589
