model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMIGWO,1,1,111886,0.9188062,0.05839484,0.03979833,0.364966255355928,108758,0,71.134217
ELMIGWO,1,2,80302,0.8632482,0.06662109,0.04559202,0.259952142701762,78149,0,72.2055718
ELMIGWO,1,3,108938,0.9888496,0.01890874,0.01156151,0.997218601406304,108938,0,72.6515647
ELMIGWO,1,4,107335,0.977285,0.02074814,0.01292329,0.996944146830018,107335,0,71.6843594
ELMIGWO,1,5,108573,0.9959545,0.0123865,0.006270336,0.997678980962118,108573,0,70.7230975
ELMIGWO,1,6,99685,0.9045346,0.06056384,0.04139958,0.368099482461185,97384,0,70.9145095
ELMIGWO,1,7,99685,0.9058056,0.06015931,0.04128258,0.368725868725869,97384,0,77.8051223
ELMIGWO,2,1,110740,0.8803486,0.07141725,0.04932728,0.279681727763569,105570,0,85.6773279
ELMIGWO,2,2,93548,0.9113451,0.0579771,0.04107207,0.318934988851484,91492,0,81.342386
ELMIGWO,2,3,107783,0.9918248,0.01706211,0.01158339,0.997142406501953,107783,0,78.991631
ELMIGWO,2,4,107916,0.9842335,0.01791634,0.0126433,0.997238592979725,107916,0,77.6631944
ELMIGWO,2,5,106418,0.9980913,0.009388206,0.006270946,0.963887688173053,106418,0,77.8676627
ELMIGWO,2,6,103081,0.9186631,0.06273314,0.04268996,0.417099878332043,99451,0,77.5032194
ELMIGWO,2,7,86716,0.9084188,0.05318062,0.03691984,0.338216613441288,84233,0,75.3786439
ELMIGWO,3,1,91897,0.8467683,0.06114648,0.03879122,0.32298280041556,86630,0,77.2572355
ELMIGWO,3,2,88065,0.8948061,0.05744807,0.03914332,0.305519237952932,85664,0,75.4292527
ELMIGWO,3,3,106010,0.9578168,0.02924867,0.02245318,0.996830487689841,106010,0,76.5842629
ELMIGWO,3,4,106265,0.9730765,0.02685681,0.01906446,0.994184350444643,106265,0,73.4661756
ELMIGWO,3,5,134049,0.985538,0.03176226,0.02093952,0.664394166416941,40044,0,73.0627725
ELMIGWO,3,6,87914,0.8710294,0.06204173,0.03718332,0.37777697547356,83094,0,73.3469553
ELMIGWO,3,7,93443,0.7512918,0.06323966,0.03898592,0.154230384999616,91091,0,72.4077519
ELMIGWO,4,1,111234,0.8514363,0.08363821,0.05900426,0.229133625935898,108452,0,71.940838
ELMIGWO,4,2,87389,0.8994391,0.05994189,0.04037978,0.30043929759748,84453,0,72.4234071
ELMIGWO,4,3,107580,0.9820895,0.02127377,0.01240667,0.997034764826176,107580,0,72.8906254
ELMIGWO,4,4,107501,0.9597922,0.02503317,0.01377573,0.996455846922354,107501,0,73.6759284
ELMIGWO,4,5,107657,0.995741,0.01249661,0.004897934,0.996748934114828,107657,0,72.0195789
ELMIGWO,4,6,112066,0.8973923,0.03351273,0.02094909,0.357882320918205,110215,0,72.8227243
ELMIGWO,4,7,85362,0.8998869,0.05725478,0.04033267,0.316357702830362,81509,0,72.7134362
ELMIGWO,5,1,110916,0.8773952,0.06868774,0.04430164,0.309073920265781,105952,0,71.8008048
ELMIGWO,5,2,103798,0.8694779,0.05857581,0.04178801,0.300299704265328,100766,0,70.898599
ELMIGWO,5,3,108198,0.9895489,0.01814289,0.01258876,0.997892752176565,108198,0,71.18079
