model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMACOR,1,1,111886,0.7852364,0.09497149,0.06698815,0.217887419776016,108758,0,230.1500841
ELMACOR,1,2,80302,0.6275311,0.1099487,0.07971168,0.149227757232978,78149,0,229.5644426
ELMACOR,1,3,108938,0.9147556,0.05228166,0.04003244,0.9737648937928,108938,0,248.4021592
ELMACOR,1,4,107335,0.89213,0.04521398,0.03572461,0.995937951274048,107335,0,264.8904677
ELMACOR,1,5,108573,0.8493481,0.07558771,0.06058516,0.851095576248239,108573,0,234.6983507
ELMACOR,1,6,99685,0.7366192,0.1005964,0.07284345,0.206471288918097,97384,0,232.8726491
ELMACOR,1,7,99685,0.6955127,0.1081621,0.07813313,0.192023330321203,97384,0,229.8616884
ELMACOR,2,1,110740,0.7800354,0.09683237,0.07170107,0.177531495690063,105570,0,229.5116617
ELMACOR,2,2,93548,0.743268,0.09866086,0.07453124,0.175851440563109,91492,0,233.2993446
ELMACOR,2,3,107783,0.8973364,0.06046341,0.04890211,0.88116864440589,107783,0,230.5370719
ELMACOR,2,4,107916,0.8705342,0.05134043,0.04003999,0.927786426479855,107916,0,231.2677608
ELMACOR,2,5,106418,0.9253694,0.05870489,0.04651485,0.629564547351012,106418,0,229.3995952
ELMACOR,2,6,103081,0.7623131,0.1072398,0.08112746,0.212637379211873,99451,0,229.3166723
ELMACOR,2,7,86716,0.7383618,0.08988784,0.06727741,0.198117127491601,84233,0,229.7611647
ELMACOR,3,1,91897,0.6917112,0.08673135,0.05976177,0.198718688675978,86630,0,231.9801318
ELMACOR,3,2,88065,0.7450577,0.08943369,0.06483333,0.178639802017183,85664,0,230.0748248
ELMACOR,3,3,106010,0.7199229,0.07536599,0.05885407,0.76334308084143,106010,0,229.3626971
ELMACOR,3,4,106265,0.7870327,0.07553442,0.06006845,0.731953136027855,106265,0,230.0282781
ELMACOR,3,5,134049,0.6554207,0.1550395,0.1107519,0.0836579762261512,40044,0,233.1956173
ELMACOR,3,6,87914,0.6902266,0.09615253,0.06527917,0.194322093051243,83094,0,230.4854616
ELMACOR,3,7,93443,0.5133369,0.08846239,0.05655222,0.0987364284067581,91091,0,229.8981087
ELMACOR,4,1,111234,0.7180793,0.1152157,0.08679216,0.143694906502416,108452,0,231.383909
ELMACOR,4,2,87389,0.7355362,0.09720732,0.07277729,0.163108474536133,84453,0,230.350601
ELMACOR,4,3,107580,0.9370006,0.03989869,0.02966776,0.995417363822272,107580,0,230.5095534
ELMACOR,4,4,107501,0.8939905,0.04064744,0.02827575,0.996111664077543,107501,0,232.6823577
ELMACOR,4,5,107657,0.8951213,0.06201262,0.04890338,0.902644509878596,107657,0,230.4687633
ELMACOR,4,6,112066,0.7393762,0.05341052,0.03855188,0.191861361883591,110215,0,230.0238563
ELMACOR,4,7,85362,0.7660241,0.08752899,0.06442963,0.203388582855881,81509,0,230.2473021
ELMACOR,5,1,110916,0.7623267,0.09563474,0.06754664,0.189198882512836,105952,0,232.0822706
ELMACOR,5,2,103798,0.7614564,0.07918816,0.06010595,0.20909830696862,100766,0,230.0518575
ELMACOR,5,3,108198,0.8891085,0.0590984,0.04683147,0.928584631878593,108198,0,229.9415969
ELMACOR,5,4,108525,0.8033025,0.0539789,0.04284475,0.984270905321355,108525,0,230.3363111
ELMACOR,5,5,108324,0.8957726,0.0718281,0.05816106,0.57474797828736,108324,0,231.477212
ELMACOR,5,6,110524,0.7302707,0.08015728,0.05633184,0.220611208291629,106903,0,229.4352525
ELMACOR,5,7,88564,0.5849251,0.1197551,0.08399642,0.149318813934851,84852,0,229.7785931
ELMACOR,6,1,98276,0.6558847,0.1033819,0.07423052,0.151891683448305,93356,0,231.370707
ELMACOR,6,2,96724,0.8102548,0.09657304,0.07455657,0.235828441664167,93356,0,230.2383448
ELMACOR,6,3,104586,0.8990151,0.06059691,0.04875794,0.77177633717706,104586,0,229.6916377
ELMACOR,6,4,107077,0.6476272,0.06849305,0.05255654,0.943984235643509,107077,0,229.78872
ELMACOR,6,5,134110,0.9194452,0.07242537,0.04677926,0.329643319164665,54110,0,230.4468764
ELMACOR,6,6,106651,0.7580295,0.0725826,0.05436056,0.191884200196271,101900,0,230.8109255
ELMACOR,6,7,103279,0.6314883,0.08767704,0.06312285,0.167058513549119,98678,0,230.1894786
ELMACOR,7,1,111842,0.7605864,0.1017745,0.07778807,0.1408174126888,108978,0,233.1814099
ELMACOR,7,2,92431,0.6783763,0.07046911,0.04750994,0.163598391089109,90496,0,230.2924257
ELMACOR,7,3,108486,0.8818186,0.04812401,0.0355751,0.97989602345003,108486,0,231.1585036
ELMACOR,7,4,108434,0.848761,0.04416998,0.02797678,0.995803899146024,108434,0,230.6524276
ELMACOR,7,5,25045,0.004911542,0.2113944,0.1615722,0.384188460770613,25045,0,229.1766285
ELMACOR,7,6,110318,0.7649961,0.07614943,0.05709534,0.187025395101387,108643,0,229.633787
ELMACOR,7,7,69053,0.8572122,0.05122527,0.03439609,0.242811501597444,67295,0,229.5510571
ELMACOR,8,1,110981,0.75116,0.1033872,0.07752308,0.159345692887432,105883,0,229.9812292
ELMACOR,8,2,73108,0.7227653,0.1015651,0.07268566,0.183579791816731,70803,0,231.3548573
ELMACOR,8,3,107495,0.9251317,0.04770561,0.03775883,0.961040048374343,107495,0,229.5862688
ELMACOR,8,4,107264,0.8080848,0.04766885,0.0333124,0.996065781622912,107264,0,229.6570184
ELMACOR,8,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002066
ELMACOR,8,6,108433,0.729109,0.07183388,0.0517221,0.209990231689159,105443,0,230.243169
ELMACOR,8,7,99976,0.7242104,0.09104815,0.06436157,0.218788754624932,97569,0,231.720106
ELMACOR,9,1,90800,0.6909367,0.1102123,0.07899778,0.201641771900981,85761,0,229.3558949
ELMACOR,9,2,84195,0.7784158,0.0947117,0.07035486,0.204346050563675,80809,0,230.4149903
ELMACOR,9,3,105309,0.5854615,0.09176099,0.07068295,0.855719834012288,105309,0,229.5498944
ELMACOR,9,4,105853,0.633023,0.07105919,0.05399869,0.979613237225209,105853,0,231.9520023
ELMACOR,9,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002067
ELMACOR,9,6,103215,0.7573034,0.07587814,0.05113708,0.235535988286382,99713,0,231.1486498
ELMACOR,9,7,96649,0.665113,0.08777253,0.06225801,0.215630644989905,94110,0,230.1741173
ELMACOR,10,1,87016,0.6657679,0.1146483,0.08245986,0.161059849926399,83559,0,231.0711381
ELMACOR,10,2,79143,0.6530005,0.1160524,0.08267391,0.154314920385296,76305,0,229.6330746
