model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELM,1,1,111886,0.6658219,0.1184682,0.0884595,0.13909781349418,108758,0,0.3038189
ELM,1,2,80302,0.3652089,0.1435359,0.1032006,0.0930146259069214,78149,0,0.0692494
ELM,1,3,108938,0.8258224,0.07473304,0.05774096,0.888955185518368,108938,0,0.0680828
ELM,1,4,107335,0.7938347,0.06250721,0.04883058,0.965919783854288,107335,0,0.0628461
ELM,1,5,108573,0.8319775,0.07982659,0.062664,0.749597045305923,108573,0,0.0891641
ELM,1,6,99685,0.4688358,0.1428581,0.1090681,0.0938757906843013,97384,0,0.0638685
ELM,1,7,99685,0.511766,0.1369633,0.105533,0.12288466277828,97384,0,0.0615784
ELM,2,1,110740,0.5217849,0.1427762,0.1063043,0.106242303684759,105570,0,0.0633711
ELM,2,2,93548,0.6343544,0.117743,0.08898793,0.153248371442312,91492,0,0.0577283
ELM,2,3,107783,0.817183,0.08068495,0.06586999,0.7588859096518,107783,0,0.0597775
ELM,2,4,107916,0.7415106,0.07254431,0.05473045,0.786750806182586,107916,0,0.0583299
ELM,2,5,106418,0.812588,0.09302822,0.07323585,0.503007010092278,106418,0,0.0608678
ELM,2,6,103081,0.3018092,0.1837978,0.141432,0.100592251460518,99451,0,0.0564832
ELM,2,7,86716,0.4152104,0.1343848,0.1017513,0.115797846449729,84233,0,0.0550619
ELM,3,1,91897,0.5601522,0.1035973,0.07380889,0.159332794643888,86630,0,0.0611506
ELM,3,2,88065,0.5408435,0.1200219,0.08926506,0.124042771759432,85664,0,0.0564853
ELM,3,3,106010,0.6105062,0.08887649,0.07002487,0.679907555890954,106010,0,0.0627924
ELM,3,4,106265,0.4612088,0.1201431,0.09236336,0.542605749776502,106265,0,0.0629655
ELM,3,5,134049,0.4964728,0.1874171,0.1339581,0.0496703626011387,40044,0,0.0661828
ELM,3,6,87914,0.5426786,0.1168287,0.08601762,0.130442631236912,83094,0,0.0555672
ELM,3,7,93443,0.1481167,0.1170401,0.07596584,0.0719061158621598,91091,0,0.0592389
ELM,4,1,111234,0.6800853,0.1227342,0.08452766,0.173007413417918,108452,0,0.0565482
ELM,4,2,87389,0.6351292,0.1141788,0.08265939,0.138645163582111,84453,0,0.0592734
ELM,4,3,107580,0.770623,0.07613165,0.05960763,0.954275887711471,107580,0,0.0560437
ELM,4,4,107501,0.6770993,0.07094067,0.05418243,0.968065413344992,107501,0,0.0614823
ELM,4,5,107657,0.8314771,0.07860785,0.06153423,0.825399184446901,107657,0,0.0601227
ELM,4,6,112066,0.7254275,0.05482117,0.03880565,0.200861951639976,110215,0,0.0635594
ELM,4,7,85362,0.6358292,0.1091991,0.08288847,0.134856273540345,81509,0,0.0606477
