model,point,response,n_test,R2,nRMSE,nMAE,a10,a10_eligible,constant_reference,train_s
ELMIGWO,8,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002917
ELMIGWO,8,6,108433,0.9125009,0.04082573,0.02761568,0.385421507354685,105443,0,46.303677
ELMIGWO,8,7,99976,0.9009119,0.05457488,0.03654847,0.34743617337474,97569,0,47.0063434
ELMIGWO,9,1,90800,0.8665258,0.07242774,0.04799198,0.303471274821889,85761,0,46.049084
ELMIGWO,9,2,84195,0.9073328,0.06124874,0.04189397,0.372025393211152,80809,0,46.8336303
ELMIGWO,9,3,105309,0.7278607,0.07434835,0.05687092,0.953232867086384,105309,0,47.3499225
ELMIGWO,9,4,105853,0.8043305,0.05188745,0.03848368,0.997392610507024,105853,0,47.1336878
ELMIGWO,9,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002145
ELMIGWO,9,6,103215,0.8780411,0.05378877,0.03462688,0.340025874259124,99713,0,47.1164691
ELMIGWO,9,7,96649,0.8085634,0.06636237,0.04490675,0.277876952502391,94110,0,46.8431532
ELMIGWO,10,1,87016,0.8669151,0.07234493,0.04996954,0.253126533347694,83559,0,46.6909507
ELMIGWO,10,2,79143,0.8895253,0.06548187,0.04544955,0.281449446301029,76305,0,46.8347707
ELMIGWO,10,3,41022,0.8062519,0.09741924,0.07970823,0.389595826629613,41022,0,47.0340908
ELMIGWO,10,4,93441,0.520632,0.1003282,0.07947845,0.898064019006646,93441,0,47.3324983
ELMIGWO,10,5,180000,NaN,NaN,NaN,NaN,0,1,0.0002197
ELMIGWO,10,6,55850,0.6627475,0.06553787,0.0341794,0.15295306363671,52454,0,46.7129488
ELMIGWO,10,7,59752,0.6629245,0.07177057,0.03691103,0.185503923816242,56705,0,45.9717736
