method,hidden_neurons,mean_R2,median_R2,mean_nRMSE,mean_nMAE,mean_a10,cases_R2_ge_090,total_train_s
ELM,30,0.8064352,0.8300,0.0704,0.0500,0.4762,13,7.81
ELMABC,15,0.8499900,0.8710,0.0602,0.0424,0.5157,21,6379.4
ELMACOR,15,0.7567935,0.7640,0.0813,0.0589,0.4412,12,22356.4
ELMIGWO,5,0.8856985,0.9027,0.0511,0.0348,0.5572,36,3214.8
